Type,Algorithm,Time,Comparisons
ALMOST_1800,MergeSort LCP,3.63629,29527
ALMOST_1800,Ternary QuickSort,3.03689,59252
ALMOST_1800,MSD Radix,9.4555,0
ALMOST_1800,MSD Sort,3.91564,59252
ALMOST_1800,MSD Radix + Quick,2.37987,9083
WITHPREFIX_1800,std::sort,2.4369,22795
WITHPREFIX_1800,MergeSort LCP,8.83768,299123
WITHPREFIX_1800,Ternary QuickSort,1.42308,45395
WITHPREFIX_1800,MSD Radix,4.85085,0
WITHPREFIX_1800,MSD Sort,1.33089,45395
WITHPREFIX_1800,MSD Radix + Quick,3.23102,6983
RANDOM_1900,std::sort,1.49967,23355
RANDOM_1900,MergeSort LCP,4.20973,43843
RANDOM_1900,Ternary QuickSort,1.00984,21756
RANDOM_1900,MSD Radix,1.9343,0
RANDOM_1900,MSD Sort,0.992075,21756
RANDOM_1900,MSD Radix + Quick,0.671292,7458
REVERSED_1900,std::sort,0.264608,5721
REVERSED_1900,MergeSort LCP,3.4665,26524
REVERSED_1900,Ternary QuickSort,3.31726,85582
REVERSED_1900,MSD Radix,1.91062,0
REVERSED_1900,MSD Sort,3.32606,85582
REVERSED_1900,MSD Radix + Quick,1.15335,20986
ALMOST_1900,std::sort,0.394683,9389
ALMOST_1900,MergeSort LCP,3.57387,30741
ALMOST_1900,Ternary QuickSort,2.53257,65019
ALMOST_1900,MSD Radix,1.90623,0
ALMOST_1900,MSD Sort,2.52973,65019
ALMOST_1900,MSD Radix + Quick,0.755425,9893
WITHPREFIX_1900,std::sort,1.63768,23809
WITHPREFIX_1900,MergeSort LCP,8.64616,318580
WITHPREFIX_1900,Ternary QuickSort,1.36581,47586
WITHPREFIX_1900,MSD Radix,4.5705,0
WITHPREFIX_1900,MSD Sort,1.39232,47586
WITHPREFIX_1900,MSD Radix + Quick,3.37524,7291
RANDOM_2000,std::sort,1.5821,24891
RANDOM_2000,MergeSort LCP,4.56432,46559
RANDOM_2000,Ternary QuickSort,1.07614,22394
RANDOM_2000,MSD Radix,2.05385,0
RANDOM_2000,MSD Sort,1.01501,22394
RANDOM_2000,MSD Radix + Quick,0.754767,8040
REVERSED_2000,std::sort,0.280992,6021
REVERSED_2000,MergeSort LCP,3.69519,27709
REVERSED_2000,Ternary QuickSort,3.58055,90566
REVERSED_2000,MSD Radix,2.17369,0
REVERSED_2000,MSD Sort,5.16397,90566
REVERSED_2000,MSD Radix + Quick,2.93614,23150
ALMOST_2000,std::sort,0.765867,11785
ALMOST_2000,MergeSort LCP,7.825,34048
ALMOST_2000,Ternary QuickSort,4.27376,70251
ALMOST_2000,MSD Radix,2.52153,0
ALMOST_2000,MSD Sort,2.87002,70251
